entry_time,exit_time,direction,entry_price,stop_loss,take_profit,exit_price,exit_reason,pnl,r_multiple,winner
2025-07-25 13:00:00,2025-07-25 16:00:00,BUY,3342.9,3330.76,3363.85,3330.76,Stop Loss,-12.14,-1.0,N
2025-07-25 17:00:00,2025-07-28 14:00:00,BUY,3328.9,3315.11,3354.39,3315.11,Stop Loss,-13.79,-1.0,N
2025-07-28 17:00:00,2025-07-30 08:00:00,BUY,3314.8,3294.79,3332.44,3332.44,Take Profit,17.64,0.88,Y
2025-07-30 12:00:00,2025-07-30 12:00:00,SELL,3382.1,3417.94,3336.51,3336.51,Take Profit,45.59,1.27,Y
2025-07-30 13:00:00,2025-07-30 13:00:00,SELL,3384.7,3429.88,3339.44,3339.44,Take Profit,45.26,1.0,Y
2025-07-30 18:00:00,2025-09-02 16:00:00,BUY,3353.2,3238.14,3580.32,3580.32,Take Profit,227.12,1.97,Y
2025-09-03 20:00:00,2025-09-04 00:00:00,SELL,3628.1,3654.85,3610.84,3610.84,Take Profit,17.26,0.65,Y
2025-09-04 05:00:00,2025-09-04 14:00:00,BUY,3588.4,3568.45,3614.57,3614.57,Take Profit,26.17,1.31,Y
2025-09-05 06:00:00,2025-09-05 08:00:00,SELL,3616.0,3633.32,3606.25,3606.25,Take Profit,9.75,0.56,Y
2025-09-05 17:00:00,2025-09-08 14:00:00,SELL,3646.6,3668.11,3616.63,3668.11,Stop Loss,-21.51,-1.0,N
2025-09-08 17:00:00,2025-09-09 14:00:00,SELL,3679.4,3699.68,3647.52,3699.68,Stop Loss,-20.28,-1.0,N
2025-09-09 16:00:00,2025-09-15 16:00:00,SELL,3683.7,3720.59,3611.72,3720.59,Stop Loss,-36.89,-1.0,N
2025-09-15 20:00:00,2025-09-16 10:00:00,SELL,3715.6,3736.84,3688.7,3736.84,Stop Loss,-21.24,-1.0,N
2025-09-16 13:00:00,2025-09-16 14:00:00,SELL,3733.8,3748.03,3722.87,3722.87,Take Profit,10.93,0.77,Y
2025-09-16 17:00:00,2025-09-18 14:00:00,SELL,3722.2,3751.47,3666.06,3666.06,Take Profit,56.14,1.92,Y
2025-09-18 17:00:00,2025-09-19 05:00:00,BUY,3675.4,3650.94,3691.9,3691.9,Take Profit,16.5,0.67,Y
2025-09-19 18:00:00,2025-09-22 05:00:00,SELL,3701.4,3720.67,3685.65,3720.67,Stop Loss,-19.27,-1.0,N
2025-09-22 07:00:00,2025-09-22 07:00:00,SELL,3731.7,3746.16,3705.18,3746.16,Stop Loss,-14.46,-1.0,N
2025-09-22 09:00:00,2025-09-22 16:00:00,SELL,3746.6,3763.68,3715.13,3763.68,Stop Loss,-17.08,-1.0,N
2025-09-23 13:00:00,2025-09-23 20:00:00,SELL,3815.8,3833.31,3787.82,3787.82,Take Profit,27.98,1.6,Y
2025-09-24 21:00:00,2025-09-25 09:00:00,BUY,3763.2,3740.86,3790.49,3790.49,Take Profit,27.29,1.22,Y
2025-09-25 13:00:00,2025-09-25 13:00:00,SELL,3782.9,3807.24,3773.26,3773.26,Take Profit,9.64,0.4,Y
2025-09-25 16:00:00,2025-09-25 17:00:00,BUY,3763.2,3734.74,3772.58,3772.58,Take Profit,9.38,0.33,Y
2025-09-26 18:00:00,2025-09-29 03:00:00,SELL,3803.7,3824.07,3782.08,3824.07,Stop Loss,-20.37,-1.0,N
2025-09-29 05:00:00,2025-09-29 07:00:00,SELL,3823.2,3848.16,3798.29,3848.16,Stop Loss,-24.96,-1.0,N
2025-09-29 08:00:00,2025-09-30 01:00:00,SELL,3845.6,3865.72,3808.06,3865.72,Stop Loss,-20.12,-1.0,N
2025-09-30 04:00:00,2025-09-30 04:00:00,SELL,3875.8,3894.24,3855.81,3894.24,Stop Loss,-18.44,-1.0,N
2025-09-30 08:00:00,2025-09-30 09:00:00,SELL,3883.0,3914.95,3865.85,3865.85,Take Profit,17.15,0.54,Y
2025-09-30 12:00:00,2025-09-30 15:00:00,BUY,3840.2,3805.19,3864.93,3864.93,Take Profit,24.73,0.71,Y
2025-10-01 11:00:00,2025-10-01 15:00:00,SELL,3916.2,3938.82,3887.8,3887.8,Take Profit,28.4,1.26,Y
2025-10-02 14:00:00,2025-10-02 15:00:00,SELL,3909.1,3926.56,3894.39,3894.39,Take Profit,14.71,0.84,Y
2025-10-02 16:00:00,2025-10-06 05:00:00,SELL,3862.9,3936.39,3718.63,3936.39,Stop Loss,-73.49,-1.0,N
2025-10-06 08:00:00,2025-10-06 15:00:00,SELL,3957.5,3980.69,3914.13,3980.69,Stop Loss,-23.19,-1.0,N
2025-10-07 03:00:00,2025-10-07 08:00:00,SELL,3979.8,4016.8,3974.58,3974.58,Take Profit,5.22,0.14,Y
2025-10-07 15:00:00,2025-10-07 16:00:00,SELL,4001.5,4023.75,3986.23,3986.23,Take Profit,15.27,0.69,Y
2025-10-07 17:00:00,2025-10-07 17:00:00,SELL,3988.2,4030.35,3987.84,3987.84,Take Profit,0.36,0.01,Y
2025-10-07 18:00:00,2025-10-08 03:00:00,SELL,3999.1,4032.0,3988.68,4032.0,Stop Loss,-32.9,-1.0,N
2025-10-08 08:00:00,2025-10-08 17:00:00,SELL,4052.9,4074.63,4014.24,4074.63,Stop Loss,-21.73,-1.0,N
2025-10-09 02:00:00,2025-10-09 05:00:00,BUY,4043.2,4010.81,4058.83,4058.83,Take Profit,15.63,0.48,Y
2025-10-09 17:00:00,2025-10-09 17:00:00,BUY,4030.3,3997.39,4049.59,3997.39,Stop Loss,-32.91,-1.0,N
2025-10-09 21:00:00,2025-10-10 16:00:00,BUY,3989.1,3937.62,4035.12,4035.12,Take Profit,46.02,0.89,Y
2025-10-10 18:00:00,2025-10-10 18:00:00,SELL,3996.9,4047.92,3996.57,3996.57,Take Profit,0.33,0.01,Y
2025-10-12 23:00:00,2025-10-12 23:00:00,SELL,3999.6,4058.49,3999.31,4058.49,Stop Loss,-58.89,-1.0,N
