entry_time,exit_time,direction,setup_type,quality,signal_entry,entry_price,stop_loss,take_profit,exit_price,exit_reason,pnl,r_multiple,winner
2026-01-13T11:15:00,2026-01-13T11:40:00,SELL,Trend Pullback,1.0,4593.8,4592.8,4598.06,4585.27,4598.06,Stop Loss,-5.26,-1.0,N
2026-01-13T11:55:00,2026-01-13T12:50:00,SELL,Trend Pullback,1.0,4595.4,4594.5,4600.08,4586.05,4600.08,Stop Loss,-5.58,-1.0,N
2026-01-13T13:15:00,2026-01-13T13:40:00,BUY,Breakout Retest,1.0,4611.5,4612.4,4604.58,4626.5,4626.5,Take Profit,14.1,1.8,Y
2026-01-13T15:35:00,2026-01-13T16:25:00,BUY,Trend Pullback,1.0,4620.8,4621.6,4607.51,4647.39,4607.51,Stop Loss,-14.09,-1.0,N
2026-01-13T16:45:00,2026-01-13T17:50:00,BUY,Trend Pullback,1.0,4617.6,4618.4,4605.53,4641.73,4605.53,Stop Loss,-12.87,-1.0,N
2026-01-13T19:00:00,2026-01-13T20:30:00,SELL,Trend Pullback,1.0,4602.3,4601.8,4611.14,4584.61,4584.61,Take Profit,17.19,1.84,Y
2026-01-13T21:15:00,2026-01-13T23:05:00,SELL,Trend Pullback,1.0,4591.5,4590.7,4600.64,4573.22,4600.64,Stop Loss,-9.94,-1.0,N
2026-01-14T06:15:00,2026-01-14T08:05:00,BUY,Trend Pullback,1.0,4640.5,4641.5,4631.93,4657.65,4631.93,Stop Loss,-9.57,-1.0,N
2026-01-14T08:40:00,2026-01-14T14:35:00,BUY,Trend Pullback,1.0,4637.8,4638.6,4631.21,4650.97,4631.21,Stop Loss,-7.39,-1.0,N
2026-01-14T15:45:00,2026-01-14T18:15:00,SELL,Trend Pullback,1.0,4620.0,4618.8,4633.29,4593.41,4633.29,Stop Loss,-14.49,-1.0,N
2026-01-14T20:10:00,2026-01-14T20:35:00,BUY,Trend Pullback,1.0,4644.5,4645.4,4635.88,4661.75,4635.88,Stop Loss,-9.52,-1.0,N
2026-01-14T20:50:00,2026-01-14T21:10:00,BUY,Trend Pullback,1.0,4637.6,4638.4,4631.49,4649.81,4631.49,Stop Loss,-6.91,-1.0,N
2026-01-15T00:45:00,2026-01-15T01:15:00,SELL,Trend Pullback,1.0,4618.7,4617.6,4623.8,4608.51,4608.51,Take Profit,9.09,1.47,Y
2026-01-15T02:00:00,2026-01-15T02:05:00,SELL,Trend Pullback,1.0,4604.3,4603.2,4614.97,4582.97,4614.97,Stop Loss,-11.77,-1.0,N
2026-01-15T02:35:00,2026-01-15T02:50:00,SELL,Trend Pullback,1.0,4614.0,4613.4,4619.88,4602.24,4602.24,Take Profit,11.16,1.72,Y
2026-01-15T03:55:00,2026-01-15T06:05:00,SELL,Trend Pullback,1.0,4596.5,4595.6,4606.61,4576.29,4606.61,Stop Loss,-11.01,-1.0,N
2026-01-15T08:15:00,2026-01-15T10:35:00,BUY,Trend Pullback,1.0,4608.2,4609.0,4601.41,4621.79,4621.79,Take Profit,12.79,1.69,Y
2026-01-15T12:00:00,2026-01-15T12:10:00,BUY,Trend Pullback,1.0,4623.4,4624.1,4618.97,4632.26,4618.97,Stop Loss,-5.13,-1.0,N
2026-01-15T12:30:00,2026-01-15T12:45:00,BUY,Trend Pullback,1.0,4620.7,4621.4,4617.4,4627.3,4617.4,Stop Loss,-4.0,-1.0,N
2026-01-15T17:10:00,2026-01-15T20:15:00,BUY,Trend Pullback,1.0,4614.1,4615.0,4605.98,4630.33,4605.98,Stop Loss,-9.02,-1.0,N
2026-01-16T01:15:00,2026-01-16T02:35:00,SELL,Trend Pullback,1.0,4607.2,4606.9,4613.11,4595.38,4595.38,Take Profit,11.52,1.86,Y
2026-01-16T03:30:00,2026-01-16T04:20:00,SELL,Trend Pullback,1.0,4598.8,4597.8,4603.97,4588.46,4603.97,Stop Loss,-6.17,-1.0,N
2026-01-16T04:25:00,2026-01-16T04:55:00,SELL,Trend Pullback,1.0,4602.2,4601.3,4605.2,4596.2,4605.2,Stop Loss,-3.9,-1.0,N
2026-01-16T05:15:00,2026-01-16T05:20:00,SELL,Trend Pullback,1.0,4599.8,4598.9,4603.5,4592.39,4603.5,Stop Loss,-4.6,-1.0,N
2026-01-16T06:20:00,2026-01-16T06:40:00,BUY,Trend Pullback,1.0,4609.5,4610.3,4604.09,4620.32,4604.09,Stop Loss,-6.21,-1.0,N
2026-01-16T07:10:00,2026-01-16T09:25:00,BUY,Trend Pullback,1.0,4610.0,4610.9,4603.61,4622.78,4603.61,Stop Loss,-7.29,-1.0,N
2026-01-16T10:00:00,2026-01-16T10:05:00,SELL,Trend Pullback,1.0,4604.2,4603.3,4608.9,4594.79,4608.9,Stop Loss,-5.6,-1.0,N
2026-01-16T11:15:00,2026-01-16T12:50:00,BUY,Trend Pullback,1.0,4610.4,4611.1,4605.21,4620.77,4605.21,Stop Loss,-5.89,-1.0,N
2026-01-16T14:25:00,2026-01-16T14:35:00,SELL,Trend Pullback,1.0,4606.3,4605.1,4614.51,4589.89,4614.51,Stop Loss,-9.41,-1.0,N
2026-01-16T16:55:00,2026-01-16T21:59:55,SELL,Trend Pullback,1.0,4589.9,4589.4,4605.53,4558.63,4595.4,End of data,-6.0,-0.37,N
