entry_time,exit_time,direction,setup_type,quality,signal_entry,entry_price,stop_loss,take_profit,exit_price,exit_reason,pnl,r_multiple,winner
2026-01-13T10:10:00,2026-01-13T11:45:00,BUY,Mean Reversion,1.0,4592.6,4593.2,4587.48,4599.23,4599.23,Take Profit,6.03,1.05,Y
2026-01-13T11:50:00,2026-01-13T12:05:00,SELL,Mean Reversion,1.0,4597.3,4596.8,4602.2,4594.57,4594.57,Take Profit,2.23,0.41,Y
2026-01-13T12:20:00,2026-01-13T12:20:00,BUY,Mean Reversion,1.0,4592.1,4592.8,4587.39,4595.04,4587.39,Stop Loss,-5.41,-1.0,N
2026-01-13T12:35:00,2026-01-13T12:40:00,BUY,Mean Reversion,1.0,4588.6,4589.1,4583.92,4594.04,4594.04,Take Profit,4.94,0.95,Y
2026-01-13T13:00:00,2026-01-13T13:05:00,SELL,Mean Reversion,1.0,4602.0,4600.9,4607.13,4594.8,4607.13,Stop Loss,-6.23,-1.0,N
2026-01-13T13:20:00,2026-01-13T13:30:00,SELL,Mean Reversion,1.0,4610.1,4609.6,4617.05,4597.35,4617.05,Stop Loss,-7.45,-1.0,N
2026-01-13T13:40:00,2026-01-13T14:20:00,SELL,Mean Reversion,1.0,4622.8,4621.9,4631.21,4605.98,4631.21,Stop Loss,-9.31,-1.0,N
2026-01-13T14:55:00,2026-01-13T15:00:00,SELL,Mean Reversion,1.0,4633.3,4632.6,4650.87,4624.1,4624.1,Take Profit,8.5,0.47,Y
2026-01-13T15:05:00,2026-01-13T15:05:00,SELL,Mean Reversion,1.0,4628.5,4628.0,4653.32,4626.25,4626.25,Take Profit,1.75,0.07,Y
2026-01-13T15:25:00,2026-01-13T15:45:00,BUY,Mean Reversion,1.0,4612.7,4613.8,4598.21,4626.54,4626.54,Take Profit,12.74,0.82,Y
2026-01-13T16:35:00,2026-01-13T16:50:00,BUY,Mean Reversion,1.0,4614.5,4615.3,4593.72,4621.18,4621.18,Take Profit,5.88,0.27,Y
2026-01-13T18:10:00,2026-01-13T20:30:00,BUY,Mean Reversion,1.0,4601.3,4602.2,4589.25,4614.83,4589.25,Stop Loss,-12.95,-1.0,N
2026-01-13T20:45:00,2026-01-13T23:00:00,BUY,Mean Reversion,1.0,4592.7,4593.8,4575.5,4599.4,4599.4,Take Profit,5.6,0.31,Y
2026-01-13T23:35:00,2026-01-14T00:00:00,SELL,Mean Reversion,1.0,4603.0,4602.4,4610.95,4597.39,4610.95,Stop Loss,-8.55,-1.0,N
2026-01-14T00:15:00,2026-01-14T01:00:00,SELL,Mean Reversion,1.0,4612.3,4611.6,4619.1,4602.35,4619.1,Stop Loss,-7.5,-1.0,N
2026-01-14T01:10:00,2026-01-14T02:30:00,SELL,Mean Reversion,1.0,4618.4,4617.3,4630.02,4611.52,4630.02,Stop Loss,-12.72,-1.0,N
2026-01-14T02:40:00,2026-01-14T03:25:00,SELL,Mean Reversion,1.0,4628.9,4628.3,4636.75,4624.49,4624.49,Take Profit,3.81,0.45,Y
2026-01-14T03:35:00,2026-01-14T14:45:00,BUY,Mean Reversion,1.0,4629.0,4629.8,4617.12,4652.76,4617.12,Stop Loss,-12.68,-1.0,N
2026-01-14T14:55:00,2026-01-14T15:00:00,BUY,Mean Reversion,1.0,4622.7,4623.1,4610.21,4637.66,4610.21,Stop Loss,-12.89,-1.0,N
2026-01-14T15:10:00,2026-01-14T18:15:00,BUY,Mean Reversion,1.0,4611.6,4612.2,4599.14,4634.12,4634.12,Take Profit,21.92,1.68,Y
2026-01-14T18:25:00,2026-01-14T18:50:00,SELL,Mean Reversion,1.0,4633.6,4633.0,4643.14,4621.7,4643.14,Stop Loss,-10.14,-1.0,N
2026-01-14T20:10:00,2026-01-14T21:25:00,BUY,Mean Reversion,1.0,4644.5,4645.4,4627.72,4678.07,4627.72,Stop Loss,-17.68,-1.0,N
2026-01-14T21:35:00,2026-01-14T23:05:00,BUY,Mean Reversion,1.0,4627.5,4628.3,4619.3,4637.79,4619.3,Stop Loss,-9.0,-1.0,N
2026-01-14T23:15:00,2026-01-14T23:25:00,BUY,Mean Reversion,1.0,4621.2,4621.5,4610.58,4631.53,4610.58,Stop Loss,-10.92,-1.0,N
2026-01-14T23:30:00,2026-01-15T01:20:00,BUY,Mean Reversion,1.0,4614.0,4614.7,4603.1,4628.12,4603.1,Stop Loss,-11.6,-1.0,N
2026-01-15T01:40:00,2026-01-15T02:05:00,BUY,Mean Reversion,1.0,4600.6,4601.0,4588.32,4615.1,4615.1,Take Profit,14.1,1.11,Y
2026-01-15T03:20:00,2026-01-15T03:30:00,BUY,Mean Reversion,1.0,4594.8,4595.3,4584.55,4607.95,4584.55,Stop Loss,-10.75,-1.0,N
